inventory_state,entry_id,entry_kind,source_path,source_blob_sha256,line_start,line_end,rule_occurrence_id,rule_family_id,rule_summary,classification,owner,owner_action,required_inputs,interception_point,mechanism_candidate,current_plane,final_plane,disposition,defer_reason,rationale,remaining_witness_or_gap,exclusion_reason
baseline,le-37592304b5dee426,rule,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,51,51,ro-6bc9eba9b138c6f3,rf-69891356e4b1dd54,- Kernel は親が持つ round budget、termination、verdict field の責務へ踏み込みません。,deterministic-contract-only,repository contributor or parent QA,repository contributor or parent QA applies the `Kernel injection contract` obligation summarized as: - Kernel は親が持つ round budget、termination、verdict field の責務へ踏み込みません。,"repository state, change scope, and acceptance evidence for `Kernel injection contract`",repository change or parent-QA boundary in `Kernel injection contract`,separate a deterministic decision from its Action at repository change or parent-QA boundary in `Kernel injection contract`,natural-language Contract,natural-language Contract,retain-contract-only,"deferred: `Kernel injection contract` has no current mechanism consuming repository state, change scope, and acceptance evidence for `Kernel injection contract` at repository change or parent-QA boundary in `Kernel injection contract`; adding that workflow/runtime interception is outside Issue #225","editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `shared/repository-guidelines.md` remains its natural-language semantic Contract",natural-language source=shared/repository-guidelines.md:51-51,
baseline,le-976bc6ba964b1847,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,52,52,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-94d1c1cf510344ef,rule,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,53,54,ro-f11d9e569cfe685b,rf-222d60bb677b7ddc,`necessity-kernel-v1`（正本は `shared/necessity-kernel.md`、配布物では `references/necessity-kernel.md`）がこの contract の標準例です。,deterministic-contract-only,repository contributor or parent QA,repository contributor or parent QA applies the `Kernel injection contract` obligation summarized as: `necessity-kernel-v1`（正本は `shared/necessity-kernel.md`、配布物では `references/necessity-kernel.md`）がこの contract の標準例です。,"repository state, change scope, and acceptance evidence for `Kernel injection contract`",repository change or parent-QA boundary in `Kernel injection contract`,separate a deterministic decision from its Action at repository change or parent-QA boundary in `Kernel injection contract`,natural-language Contract,natural-language Contract,retain-contract-only,"deferred: `Kernel injection contract` has no current mechanism consuming repository state, change scope, and acceptance evidence for `Kernel injection contract` at repository change or parent-QA boundary in `Kernel injection contract`; adding that workflow/runtime interception is outside Issue #225","editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `shared/repository-guidelines.md` remains its natural-language semantic Contract",natural-language source=shared/repository-guidelines.md:53-54,
baseline,le-7ba5de07e4942b57,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,55,55,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-bbbcd348e855adb8,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,56,56,,,## 追加・変更時に触れる場所,,,,,,,,,context,,,,section label; obligations are in the section body
baseline,le-4b019c9e07f117dd,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,57,57,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-d0ff862c1eb037b2,rule,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,58,61,ro-2eba7fd4822c57d9,rf-bf05413ffd41903a,agent を追加・削除するときは `shared/agents/` の正本、Gunte の `sources.files`、repository contract、installer の agent inventory を同じ変更で更新します。skill を追加・削除するときは通常、`shared/skill/<name>/SKILL.md`、対応する declarations、Gunte の `sources.files`、managed inventory を更新し、target rule は出力 path、profile、shape が 変わる場合だけ更新します。生成後は installer test で runtime inventory も確認します。,deterministic-contract-only,repository contributor or parent QA,repository contributor or parent QA applies the `追加・変更時に触れる場所` obligation summarized as: agent を追加・削除するときは `shared/agents/` の正本、Gunte の `sources.files`、repository contract、installer の agent inventory を同じ変更で更新します。skill を追加・削除するときは通常、`shared/skill/<name>/SKILL.md`、対応する declarations、Gunte の `sources.files`、mana,"repository state, change scope, and acceptance evidence for `追加・変更時に触れる場所`",repository change or parent-QA boundary in `追加・変更時に触れる場所`,separate a deterministic decision from its Action at repository change or parent-QA boundary in `追加・変更時に触れる場所`,natural-language Contract,natural-language Contract,retain-contract-only,"deferred: `追加・変更時に触れる場所` has no current mechanism consuming repository state, change scope, and acceptance evidence for `追加・変更時に触れる場所` at repository change or parent-QA boundary in `追加・変更時に触れる場所`; adding that workflow/runtime interception is outside Issue #225","editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `shared/repository-guidelines.md` remains its natural-language semantic Contract",natural-language source=shared/repository-guidelines.md:58-61,
baseline,le-376f6ee7ade07168,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,62,62,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-77061c4bcca2d72c,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,63,63,,,## workflow と agent の surface,,,,,,,,,context,,,,section label; obligations are in the section body
baseline,le-46d9a7dc063a10be,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,64,64,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-fcc5ee29a5d1c099,rule,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,65,68,ro-fbd8fbe36de1c011,rf-5ab567cdd68fcbff,現行の public workflow skill は `impl-lead`（親の受け入れと QA を保持する実装 loop）、`plan-craft`（実装を開始しない計画成果物）、 `plan-craft-approval`（人間参加型の計画成果物）、`review-loop`（不変 snapshot に対する bounded review）、`clarify-it`（段階的な 意思決定の明確化）の5つです。internal skill は `proposal`、`structural-health-gate`、`work-unit-design` の3つです。 agent の正本は `shared/agents/`、各 runtime の exact inventory は repository contract で確認し、Codex custom-agent installer の inventory は installer test でも確認します。,deterministic-contract-only,repository contributor or parent QA,repository contributor or parent QA applies the `workflow と agent の surface` obligation summarized as: 現行の public workflow skill は `impl-lead`（親の受け入れと QA を保持する実装 loop）、`plan-craft`（実装を開始しない計画成果物）、 `plan-craft-approval`（人間参加型の計画成果物）、`review-loop`（不変 snapshot に対する bounded review）、`clarify-it`（段階的な 意思決定の明確化）の5つです。internal sk,"repository state, change scope, and acceptance evidence for `workflow と agent の surface`",repository change or parent-QA boundary in `workflow と agent の surface`,separate a deterministic decision from its Action at repository change or parent-QA boundary in `workflow と agent の surface`,natural-language Contract,natural-language Contract,retain-contract-only,"deferred: `workflow と agent の surface` has no current mechanism consuming repository state, change scope, and acceptance evidence for `workflow と agent の surface` at repository change or parent-QA boundary in `workflow と agent の surface`; adding that workflow/runtime interception is outside Issue #225","editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `shared/repository-guidelines.md` remains its natural-language semantic Contract",natural-language source=shared/repository-guidelines.md:65-68,
baseline,le-f4bf9bc3e02ae71b,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,69,69,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-f250f268bb622510,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,70,70,,,## コーディングスタイルと命名,,,,,,,,,context,,,,section label; obligations are in the section body
baseline,le-0881336758a4dabb,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,71,71,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-e97cfa4fad43a591,rule,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,72,74,ro-c0cd59e1bdeac76c,rf-2e20f2a4e29f9931,Python は4空白インデント、型ヒント、`pathlib.Path`、説明的な `snake_case` 名を使用します。Bash は既存スタイルに 従い、変数展開を引用符で囲みます。skill directory と agent file は小文字の kebab-case で命名します。原稿を複製せず、 platform 差分は `gunte.toml` の terms または明示的な `@only` marker で表現します。,deterministic-contract-only,repository contributor or parent QA,repository contributor or parent QA applies the `コーディングスタイルと命名` obligation summarized as: Python は4空白インデント、型ヒント、`pathlib.Path`、説明的な `snake_case` 名を使用します。Bash は既存スタイルに 従い、変数展開を引用符で囲みます。skill directory と agent file は小文字の kebab-case で命名します。原稿を複製せず、 platform 差分は `gunte.toml` の terms または明示的な `@only` marker で表現します。,"repository state, change scope, and acceptance evidence for `コーディングスタイルと命名`",repository change or parent-QA boundary in `コーディングスタイルと命名`,separate a deterministic decision from its Action at repository change or parent-QA boundary in `コーディングスタイルと命名`,natural-language Contract,natural-language Contract,retain-contract-only,"deferred: `コーディングスタイルと命名` has no current mechanism consuming repository state, change scope, and acceptance evidence for `コーディングスタイルと命名` at repository change or parent-QA boundary in `コーディングスタイルと命名`; adding that workflow/runtime interception is outside Issue #225","editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `shared/repository-guidelines.md` remains its natural-language semantic Contract",natural-language source=shared/repository-guidelines.md:72-74,
baseline,le-ac9646ff4dc93aeb,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,75,75,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-4ea617ad99f4a090,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,76,76,,,## テスト指針,,,,,,,,,context,,,,section label; obligations are in the section body
baseline,le-01f5524ceb617cac,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,77,77,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-cc3cea3de9f4e562,rule,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,78,81,ro-afe68028c0c463af,rf-7f5b49ea9842fa3a,Red、Green、Refactor の順で進めます。Python test を追加する場合は `unittest` を使い、実装詳細ではなく観測可能な CLI の振る舞いを記述します。repository の inventory、frontmatter、declaration scalar、retired path は Gunte contract で確認し、 生成、projection、serialization、byte drift を別のテストで再実装しません。関連する振る舞いと失敗経路を保護し、 数値による coverage 基準は設けません。,deterministic-contract-only,repository contributor or parent QA,repository contributor or parent QA applies the `テスト指針` obligation summarized as: Red、Green、Refactor の順で進めます。Python test を追加する場合は `unittest` を使い、実装詳細ではなく観測可能な CLI の振る舞いを記述します。repository の inventory、frontmatter、declaration scalar、retired path は Gunte contract で確認し、 生成、projection、serialization、byte drif,"repository state, change scope, and acceptance evidence for `テスト指針`",repository change or parent-QA boundary in `テスト指針`,separate a deterministic decision from its Action at repository change or parent-QA boundary in `テスト指針`,natural-language Contract,natural-language Contract,retain-contract-only,"deferred: `テスト指針` has no current mechanism consuming repository state, change scope, and acceptance evidence for `テスト指針` at repository change or parent-QA boundary in `テスト指針`; adding that workflow/runtime interception is outside Issue #225","editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `shared/repository-guidelines.md` remains its natural-language semantic Contract",natural-language source=shared/repository-guidelines.md:78-81,
baseline,le-5f5cdda36519217b,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,82,82,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-eeb238a96b777735,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,83,83,,,<!-- @contract repository-plan-verification-default -->,,,,,,,,,context,,,,projection/contract span delimiter; enclosed source owns the rule
baseline,le-ce783df070ce1f73,rule,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,84,86,ro-c6cd8a198711becb,rf-ff578c532cdb7e09,計画成果物の既定 verification は、この repository で実行できる native 手段に限り、EVAL を含めない。 Gunte が保証しない点は残存 risk / 未検証とし、受け入れを EVAL 実行に依存させない。 EVAL は Human が明示したとき、または既存 EVAL 成果物の変更自体が要求対象のときだけ使う。,deterministic-contract-only,repository contributor or parent QA,repository contributor or parent QA applies the `テスト指針` obligation summarized as: 計画成果物の既定 verification は、この repository で実行できる native 手段に限り、EVAL を含めない。 Gunte が保証しない点は残存 risk / 未検証とし、受け入れを EVAL 実行に依存させない。 EVAL は Human が明示したとき、または既存 EVAL 成果物の変更自体が要求対象のときだけ使う。,"repository state, change scope, and acceptance evidence for `テスト指針`",repository change or parent-QA boundary in `テスト指針`,separate a deterministic decision from its Action at repository change or parent-QA boundary in `テスト指針`,natural-language Contract with Gunte text-identity predicate only,natural-language Contract with Gunte text-identity predicate only,retain-contract-only,"deferred: `テスト指針` has no current mechanism consuming repository state, change scope, and acceptance evidence for `テスト指針` at repository change or parent-QA boundary in `テスト指針`; adding that workflow/runtime interception is outside Issue #225","editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `shared/repository-guidelines.md` remains its natural-language semantic Contract",natural-language source=shared/repository-guidelines.md:84-86,
baseline,le-fbfaf4252b548def,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,87,87,,,<!-- @/contract -->,,,,,,,,,context,,,,projection/contract span delimiter; enclosed source owns the rule
baseline,le-d448f65fa1e634ca,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,88,88,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-920fb30952093902,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,89,89,,,## Version 更新指針,,,,,,,,,context,,,,section label; obligations are in the section body
baseline,le-041c18cd3ebed1b6,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,90,90,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-095c9ca79e1e2e1a,rule,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,91,93,ro-31ac20a724748e2b,rf-6b5c8c54c5f17279,`shared/` の原稿、`gunte.toml`、`contracts/*.toml`、`declarations/`、または配布物が変わる変更では、必要な公開面を 確認して `shared/VERSION` を更新し、`gunte emit` と `gunte check` で宣言・生成物・version を同期します。README、 AGENTS、CLAUDE、tests、evals だけの変更では version を更新しません。,deterministic-contract-only,repository contributor or parent QA,repository contributor or parent QA applies the `Version 更新指針` obligation summarized as: `shared/` の原稿、`gunte.toml`、`contracts/*.toml`、`declarations/`、または配布物が変わる変更では、必要な公開面を 確認して `shared/VERSION` を更新し、`gunte emit` と `gunte check` で宣言・生成物・version を同期します。README、 AGENTS、CLAUDE、tests、evals だけの変更では version を更新しませ,"repository state, change scope, and acceptance evidence for `Version 更新指針`",repository change or parent-QA boundary in `Version 更新指針`,separate a deterministic decision from its Action at repository change or parent-QA boundary in `Version 更新指針`,natural-language Contract,natural-language Contract,retain-contract-only,"deferred: `Version 更新指針` has no current mechanism consuming repository state, change scope, and acceptance evidence for `Version 更新指針` at repository change or parent-QA boundary in `Version 更新指針`; adding that workflow/runtime interception is outside Issue #225","editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `shared/repository-guidelines.md` remains its natural-language semantic Contract",natural-language source=shared/repository-guidelines.md:91-93,
baseline,le-8ee9bec395f92ba6,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,94,94,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-9f4c6a00a02309a7,rule,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,95,97,ro-5f5265b3401d2710,rf-b451cc23403ca860,公開面（skill・agent の名前、起動方法と発火条件、保存して後から渡す artifact の形式、CLI）の呼び出しが通らなくなる 変更は major、skill・agent・契約の追加や同一 version 内の内部契約変更は minor、契約の意味を変えないモデル/effort 調整は patch です。旧入力を渡しても再起草などの安全な停止へ進める場合は、呼び出しが壊れていないため major とは扱いません。,deterministic-contract-only,repository contributor or parent QA,repository contributor or parent QA applies the `Version 更新指針` obligation summarized as: 公開面（skill・agent の名前、起動方法と発火条件、保存して後から渡す artifact の形式、CLI）の呼び出しが通らなくなる 変更は major、skill・agent・契約の追加や同一 version 内の内部契約変更は minor、契約の意味を変えないモデル/effort 調整は patch です。旧入力を渡しても再起草などの安全な停止へ進める場合は、呼び出しが壊れていないため major とは扱いません。,"repository state, change scope, and acceptance evidence for `Version 更新指針`",repository change or parent-QA boundary in `Version 更新指針`,separate a deterministic decision from its Action at repository change or parent-QA boundary in `Version 更新指針`,natural-language Contract,natural-language Contract,retain-contract-only,"deferred: `Version 更新指針` has no current mechanism consuming repository state, change scope, and acceptance evidence for `Version 更新指針` at repository change or parent-QA boundary in `Version 更新指針`; adding that workflow/runtime interception is outside Issue #225","editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `shared/repository-guidelines.md` remains its natural-language semantic Contract",natural-language source=shared/repository-guidelines.md:95-97,
baseline,le-c9ef5aaac044ac52,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,98,98,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-4b1f08c608770aa2,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,99,99,,,## Commit・Pull Request 指針,,,,,,,,,context,,,,section label; obligations are in the section body
baseline,le-0a38e1fb990c99e1,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,100,100,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-3f68502dc1d61504,rule,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,101,103,ro-6913253fd8fa833e,rf-f6866b73a9b93825,コミットメッセージは変更理由を表す簡潔な日本語件名にします。必要に応じて `feat:`、`test:`、`docs:` などの prefix を 使い、本文では変更が必要な理由を説明します。Pull Request には目的、変更範囲、関連 Issue、検証コマンドと結果を記載し、 生成物や version の変更を明示します。無関係な変更を含めません。,deterministic-contract-only,repository contributor or parent QA,repository contributor or parent QA applies the `Commit・Pull Request 指針` obligation summarized as: コミットメッセージは変更理由を表す簡潔な日本語件名にします。必要に応じて `feat:`、`test:`、`docs:` などの prefix を 使い、本文では変更が必要な理由を説明します。Pull Request には目的、変更範囲、関連 Issue、検証コマンドと結果を記載し、 生成物や version の変更を明示します。無関係な変更を含めません。,"repository state, change scope, and acceptance evidence for `Commit・Pull Request 指針`",repository change or parent-QA boundary in `Commit・Pull Request 指針`,separate a deterministic decision from its Action at repository change or parent-QA boundary in `Commit・Pull Request 指針`,natural-language Contract,natural-language Contract,retain-contract-only,"deferred: `Commit・Pull Request 指針` has no current mechanism consuming repository state, change scope, and acceptance evidence for `Commit・Pull Request 指針` at repository change or parent-QA boundary in `Commit・Pull Request 指針`; adding that workflow/runtime interception is outside Issue #225","editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `shared/repository-guidelines.md` remains its natural-language semantic Contract",natural-language source=shared/repository-guidelines.md:101-103,
baseline,le-15ad003a28fd3470,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,104,104,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-746989c56ab04008,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,105,105,,,## 変更報告,,,,,,,,,context,,,,section label; obligations are in the section body
baseline,le-8bf1b28653793ef8,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,106,106,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-8e7070eb82dbc61d,rule,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,107,108,ro-9e25f776882e708d,rf-be3164252d93b3e6,完了時には変更内容、実行した検証と結果、未検証事項または残存 risk を簡潔に報告します。無関係な dirty state や untracked artifact は保持します。,deterministic-contract-only,repository contributor or parent QA,repository contributor or parent QA applies the `変更報告` obligation summarized as: 完了時には変更内容、実行した検証と結果、未検証事項または残存 risk を簡潔に報告します。無関係な dirty state や untracked artifact は保持します。,"repository state, change scope, and acceptance evidence for `変更報告`",repository change or parent-QA boundary in `変更報告`,separate a deterministic decision from its Action at repository change or parent-QA boundary in `変更報告`,natural-language Contract,natural-language Contract,retain-contract-only,"deferred: `変更報告` has no current mechanism consuming repository state, change scope, and acceptance evidence for `変更報告` at repository change or parent-QA boundary in `変更報告`; adding that workflow/runtime interception is outside Issue #225","editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `shared/repository-guidelines.md` remains its natural-language semantic Contract",natural-language source=shared/repository-guidelines.md:107-108,
baseline,le-8d672493e6e45587,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,109,109,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-add7c61a5ae25374,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,110,110,,,## Test QA baseline contract,,,,,,,,,context,,,,section label; obligations are in the section body
baseline,le-549761e0e3a4b946,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,111,111,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-66c9ae77fed1754e,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,112,112,,,<!-- @contract repository-test-qa-baseline -->,,,,,,,,,context,,,,projection/contract span delimiter; enclosed source owns the rule
baseline,le-7fe9f2f818bc0841,rule,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,113,116,ro-c6686aa8a43ff498,rf-20152653c49bcae2,この section は、実装の入口や reviewer の有無に依存しない親 QA の共通下限を定義します。次の stable Data がこの section の判断基準であり、Gunte の URL は provenance の参照だけに使います。 `test_artifacts` は適用対象、`qa_inputs` は全 route/reviewer variant で固定する判断 packet、`common_evidence` は input variant 内で固定する evidence identity と、全 input variant に共通する parent oracle を表します。,deterministic-contract-only,repository contributor or parent QA,repository contributor or parent QA applies the `Test QA baseline contract` obligation summarized as: この section は、実装の入口や reviewer の有無に依存しない親 QA の共通下限を定義します。次の stable Data がこの section の判断基準であり、Gunte の URL は provenance の参照だけに使います。 `test_artifacts` は適用対象、`qa_inputs` は全 route/reviewer variant で固定する判断 packet、`common_evidence,"repository state, change scope, and acceptance evidence for `Test QA baseline contract`",repository change or parent-QA boundary in `Test QA baseline contract`,separate a deterministic decision from its Action at repository change or parent-QA boundary in `Test QA baseline contract`,natural-language Contract,natural-language Contract,retain-contract-only,"deferred: `Test QA baseline contract` has no current mechanism consuming repository state, change scope, and acceptance evidence for `Test QA baseline contract` at repository change or parent-QA boundary in `Test QA baseline contract`; adding that workflow/runtime interception is outside Issue #225","editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `shared/repository-guidelines.md` remains its natural-language semantic Contract",natural-language source=shared/repository-guidelines.md:113-116,
baseline,le-032e309ec357e0f0,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,117,117,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-04e464b4a600659f,rule,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,118,144,ro-2764484f06a3eac3,rf-c6e83215ad253e1e,"```toml policy_id = ""test-qa-baseline-v1"" test_artifacts = [""automated test"", ""Gunte predicate/contract"", ""fixture/oracle"", ""EVAL""] qa_inputs = [""Task Spec"", ""base"", ""acceptance criteria"", ""diff"", ""evidence"", ""surrounding context""] common_evidence = [""evidence identity is fixed within each input variant"", ""parent oracle is common across input variants""] owner = ""parent QA"" routes = [""impl-lead"", ""non-impl-lead""] baseline_self_qa = ""required on every route"" reviewer = ""optional additional observation"" reviewer_handoff = ""pass baseline and reason in existing context; parent adjudicates findings"" parent_responsibility = ""obligation, oracle, validation plane, final adjudication"" reviewer_scope = ""changed mutation, structural test, EVAL case quality only"" gunte_antipattern_url = ""https://github.com/akitanabe/gunte/blob/main/docs/gunte-antipatterns.md"" gunte_antipattern_url_use = ""provenance only; runtime retrieval is not required"" minimum_checks = [ ""obligation/oracle owner = parent QA"", ""appropriate validation plane is explicit"", ""do not infer semantics from prose layout"", ""reject empty or overbroad slice, decoy, custom parser, and duplicate Gunte guarantee"", ""applicable mutation evidence is present"", ] accept_prohibition = [ ""reviewer Pass is never an accept basis"", ""reviewer observation is additive and never replaces baseline self-QA"", ""missing evidence prohibits accept"", ] ```",deterministic-mechanized,repository contributor or parent QA,"repository contributor or parent QA applies the `Test QA baseline contract` obligation summarized as: ```toml policy_id = ""test-qa-baseline-v1"" test_artifacts = [""automated test"", ""Gunte predicate/contract"", ""fixture/oracle"", ""EVAL""] qa_inputs = [""Task Spec"", ""base"", ""acceptance criteria"", ""diff"", ""evidence"", ""surroundin","repository state, change scope, and acceptance evidence for `Test QA baseline contract`",repository change or parent-QA boundary in `Test QA baseline contract`,existing deterministic source projection and metadata/contract validation,Gunte predicate/contract or platform metadata loader,Gunte predicate/contract or platform metadata loader,keep,,the `Test QA baseline contract` structured block is consumed or byte-validated as one coherent Data unit,,
baseline,le-27973a892feaee39,context,shared/repository-guidelines.md,83042c40662237c9df1c503e863f4a6c14e21a31ceb59045c84187225b34f431,145,145,,,,,,,,,,,,context,,,,blank separator between semantic blocks
