record_id,registry,predicate_id,kind,slice_or_path,invariant,current_validation_plane,final_validation_plane,heuristic_flag,disposition,rationale,applicable_mutation_or_nonapplicable_reason,replacement_ids,baseline_identity,final_identity
baseline:contracts/plan-craft-approval.toml:dialogue-resolve-loader-53525d5ae1bc,contracts/plan-craft-approval.toml,dialogue-resolve-loader-53525d5ae1bc,requires,slice:proposal-dialogue-boundary,slice:proposal-dialogue-boundary contains required witness: 親は invocation の開始時に一度だけ、生成後の skill directory から skill-relative `../../references/resolve-kernel.md` を読み、identity `res…,Gunte requires,Gunte coherent resolve loader Data + meaningful order anchors,issue-candidate,structure,The resolve loader needs path/timing/identity/dependencies/sections/failure/owner/delegation as one relation.,Move/remove identity or failure from the Data block; dialogue-resolve-loader-data-b5dfcfee165c must fail and load-before-cycle/load-before-use order remains protected.,dialogue-resolve-loader-data-b5dfcfee165c,61a7b056d00b495f457de6c759871c73190a0c3b:80d477fb912a7c7e205b11ba714f9968c3381002c8567a9946584e3ef7c684d1,absent
final-only:contracts/plan-craft-approval.toml:dialogue-resolve-loader-data-b5dfcfee165c,contracts/plan-craft-approval.toml,dialogue-resolve-loader-data-b5dfcfee165c,requires,slice:proposal-dialogue-boundary,slice:proposal-dialogue-boundary contains required witness: path = ../../references/resolve-kernel.md load_timing = once at proposal-dialogue invocation start identity = resolve…,not present at baseline,Gunte coherent declaration Data,post-baseline-wu2,structure,WU-2 replacement records a related loader/role/return interface as one explicit Data block.,Break one declared field/value; dialogue-resolve-loader-data-b5dfcfee165c must fail on both targets while prose rewording remains Green.,,absent,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:186ba9cf0cdd6a097755e483601b954a9f9e3655e29c81b07e025384a900fcf0
baseline:contracts/plan-craft-approval.toml:dialogue-resolve-nodelegate-212646833c9b,contracts/plan-craft-approval.toml,dialogue-resolve-nodelegate-212646833c9b,requires,slice:proposal-dialogue-boundary,slice:proposal-dialogue-boundary contains required witness: Agent または人間へ package path の解決を委ねない。,Gunte requires,Gunte coherent resolve loader/role Data + meaningful order,no,structure,Loader fragments were replaced by one relation and existing anchor order.,Break loader/role Data; replacement diagnostic must fail.,dialogue-resolve-loader-data-b5dfcfee165c;dialogue-resolve-role-data-a6de7955e7a3,61a7b056d00b495f457de6c759871c73190a0c3b:01c29c5ffdb91b3052853d4e0ee54da461711a31c58199ee4a16e1c5c1ff798a,absent
baseline:contracts/plan-craft-approval.toml:dialogue-resolve-once-2acd14c5b8a8,contracts/plan-craft-approval.toml,dialogue-resolve-once-2acd14c5b8a8,requires,slice:proposal-dialogue-boundary,slice:proposal-dialogue-boundary contains required witness: cycle ごとに再読込しない。,Gunte requires,Gunte coherent resolve loader/role Data + meaningful order,no,structure,Loader fragments were replaced by one relation and existing anchor order.,Break loader/role Data; replacement diagnostic must fail.,dialogue-resolve-loader-data-b5dfcfee165c;dialogue-resolve-role-data-a6de7955e7a3,61a7b056d00b495f457de6c759871c73190a0c3b:d78a7b648e085e59c7bf0e138755389f803a9d2ad875184d1e6fc2d5243c6a76,absent
final-only:contracts/plan-craft-approval.toml:dialogue-resolve-role-data-a6de7955e7a3,contracts/plan-craft-approval.toml,dialogue-resolve-role-data-a6de7955e7a3,requires,slice:proposal-dialogue-boundary,slice:proposal-dialogue-boundary contains required witness: caller = plan-craft-approval resolver = planner counterpart = human authority = binding ledger = decision ledger,not present at baseline,Gunte coherent declaration Data,post-baseline-wu2,structure,WU-2 replacement records a related loader/role/return interface as one explicit Data block.,Break one declared field/value; dialogue-resolve-role-data-a6de7955e7a3 must fail on both targets while prose rewording remains Green.,,absent,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:fd92c6ac770d54024371c6ecdf3cb46a530bd74c29d95ba6885a89cc45ac19e0
baseline:contracts/plan-craft-approval.toml:pca-resolve-loader-da62f9544d5f,contracts/plan-craft-approval.toml,pca-resolve-loader-da62f9544d5f,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: internal `proposal-dialogue` の開始前に、`proposal-dialogue` が規定する resolve-kernel loader を親 Action として一度だけ実行する。,Gunte requires,Gunte coherent resolve loader/role Data + meaningful order,no,structure,Loader fragments were replaced by one relation and existing anchor order.,Break loader/role Data; replacement diagnostic must fail.,dialogue-resolve-loader-data-b5dfcfee165c;dialogue-resolve-role-data-a6de7955e7a3,61a7b056d00b495f457de6c759871c73190a0c3b:c038485d5bad4d251fdc047ae558288fc69962d01e683ca292e677ca1a86ea13,absent
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-applicability-first-requires-606808497aff,contracts/plan-craft-approval.toml,plan-craft-approval-applicability-first-requires-606808497aff,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: review 省略の明示より reviewer 適用可否の判定を先に行う,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:35d8c5e4d3d04d25028cd4e613d0f5f63797a998a4df1d486e8ab2a833d88c5d,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:35d8c5e4d3d04d25028cd4e613d0f5f63797a998a4df1d486e8ab2a833d88c5d
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-caller-context-requires-8953f4a646ab,contracts/plan-craft-approval.toml,plan-craft-approval-caller-context-requires-8953f4a646ab,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: generic `caller_context` Data,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:99b424ef3d67730bf314d6f8b604ffa1743e003ae19e5c737272d0c4a7540214,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:99b424ef3d67730bf314d6f8b604ffa1743e003ae19e5c737272d0c4a7540214
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-converged-requires-d4d4954b86aa,contracts/plan-craft-approval.toml,plan-craft-approval-converged-requires-d4d4954b86aa,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: `converged`,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:cce0bb9260a02dd5f68085e7305eeb9847b00db2a978c5e23c775318ff2339a2,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:cce0bb9260a02dd5f68085e7305eeb9847b00db2a978c5e23c775318ff2339a2
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-deltas-requires-31dac0e0463a,contracts/plan-craft-approval.toml,plan-craft-approval-deltas-requires-31dac0e0463a,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: 親は全文精読を要求せず、方向変更の有無を明記した `Semantic Delta`、追加・変更した 検証とその結果を示す `Verification Delta`、残存 risk を提示する。Verification Delta は特…,Gunte requires,EVAL: plan-craft-approval-final-handoff,issue-candidate,eval,"Semantic/Verification Delta quality and prioritization are output judgments, not exact prose.",Deterministic text mutation is nonapplicable; variants A/C must report only final meaning and verification changes.,,61a7b056d00b495f457de6c759871c73190a0c3b:870ebfbcaf5e86a19bd6a1bea9f00bf8ffd338e990edc9617ca07ccb0ca296aa,absent
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-explicit-skip-requires-7127b7a6cb00,contracts/plan-craft-approval.toml,plan-craft-approval-explicit-skip-requires-7127b7a6cb00,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: ユーザーが review 省略を明示した場合は、確定候補とせず、review 未実施の起草物と残存 risk を添えて未完了として返す。,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:d024e82c94ac4061f3db36410bb8e70b7ed01083037b7e98ebba5a18a0e7a5fb,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:d024e82c94ac4061f3db36410bb8e70b7ed01083037b7e98ebba5a18a0e7a5fb
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-fallback-forbids-c8fe8122f54a,contracts/plan-craft-approval.toml,plan-craft-approval-fallback-forbids-c8fe8122f54a,forbids,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff excludes forbidden witness: ただし goal に対応する別 reviewer があれば `review-loop` へ渡す,Gunte forbids,Gunte bounded forbids,no,keep-bounded,The bounded forbidden literal is a deterministic negative interface and does not freeze surrounding prose.,Insert the forbidden literal inside the declared slice/path; the same predicate must fail.,,61a7b056d00b495f457de6c759871c73190a0c3b:7a15103f8a25e62cf87f2ab21a90635c1a58032f9840d5ed48f00864fdf12017,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:7a15103f8a25e62cf87f2ab21a90635c1a58032f9840d5ed48f00864fdf12017
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-final-acceptance-requires-fc69834046e6,contracts/plan-craft-approval.toml,plan-craft-approval-final-acceptance-requires-fc69834046e6,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: final acceptance は direction freeze と分離し、既定で必須とする。人間が明示的に opt-out した場合だけ承認 Action を 省略できるが、final report は省略しない。,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:3316a0d6f3db9693f5ae1a6b6f2aa2dc17d6e7b694c65b40bc30973906a5f1f6,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:3316a0d6f3db9693f5ae1a6b6f2aa2dc17d6e7b694c65b40bc30973906a5f1f6
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-fixed-review-requires-b01feb2f4c96,contracts/plan-craft-approval.toml,plan-craft-approval-fixed-review-requires-b01feb2f4c96,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: reviewer 適用可能な成果物は、ユーザーによる review の明示要求がなくても固定工程として `review-loop` へ渡す。,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:30a97c3ed020c4ebee58cca23a43ad6992e30991c1318414c2f4ce01fa67ba3d,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:30a97c3ed020c4ebee58cca23a43ad6992e30991c1318414c2f4ce01fa67ba3d
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-freeze-as-final-forbids-29d8e8a66ff5,contracts/plan-craft-approval.toml,plan-craft-approval-freeze-as-final-forbids-29d8e8a66ff5,forbids,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff excludes forbidden witness: direction freeze を final acceptance とみなす,Gunte forbids,Gunte bounded forbids,no,keep-bounded,The bounded forbidden literal is a deterministic negative interface and does not freeze surrounding prose.,Insert the forbidden literal inside the declared slice/path; the same predicate must fail.,,61a7b056d00b495f457de6c759871c73190a0c3b:e486ff7e19a9d0c3d35260703556306690041eda46a13133b3ecdaa2436129f3,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:e486ff7e19a9d0c3d35260703556306690041eda46a13133b3ecdaa2436129f3
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-freeze-as-final-variant-forbids-e273ecba654c,contracts/plan-craft-approval.toml,plan-craft-approval-freeze-as-final-variant-forbids-e273ecba654c,forbids,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff excludes forbidden witness: direction freeze を最終承認として扱う,Gunte forbids,Gunte bounded forbids,no,keep-bounded,The bounded forbidden literal is a deterministic negative interface and does not freeze surrounding prose.,Insert the forbidden literal inside the declared slice/path; the same predicate must fail.,,61a7b056d00b495f457de6c759871c73190a0c3b:00a2c618b4c7e1b1707e1fa3bc6290e1ccd4c84fe7d653c0d43655fb5bbbfe02,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:00a2c618b4c7e1b1707e1fa3bc6290e1ccd4c84fe7d653c0d43655fb5bbbfe02
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-freeze-requires-6285eb428ab5,contracts/plan-craft-approval.toml,plan-craft-approval-freeze-requires-6285eb428ab5,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: direction freeze は成果物全文の固定ではなく、人間が確定した意味判断を保護する境界とする。親は方向性、実装イメージ、 重要な verification を圧縮して人間へ示し、freeze 後の gate と revie…,Gunte requires,EVAL: plan-craft-approval-final-handoff,issue-candidate,eval,The distinction between frozen decisions and editable elaboration is a semantic handoff decision.,Deterministic text mutation is nonapplicable; variants A/B must distinguish rewording from a frozen API change.,,61a7b056d00b495f457de6c759871c73190a0c3b:fc595c42809495a96acbbb8a468d43d4eb6f7202ebebb2443a7df32712ce267d,absent
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-human-confirmation-requires-28d1af738b7c,contracts/plan-craft-approval.toml,plan-craft-approval-human-confirmation-requires-28d1af738b7c,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: decision ledger で人間が裁定済みの方向性を変更・撤回する finding は、局所修正で閉じる場合も親だけで採用せず `人間確認` へ裁定する。人間の再判断後だけ成果物へ反映し、既存の裁定区分を増やさない。,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:b108ef22e48d1b55c5d66284da073ca176b52729bbe6d93f9cb31f3416a50ccd,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:b108ef22e48d1b55c5d66284da073ca176b52729bbe6d93f9cb31f3416a50ccd
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-induced-clean-requires-f1d8351c69e7,contracts/plan-craft-approval.toml,plan-craft-approval-induced-clean-requires-f1d8351c69e7,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: 未解決 finding のない `induced-loop`,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:99340a6eaf58aef61df45f5a6eb9dc7b16843a32935e95ecab0155788908792f,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:99340a6eaf58aef61df45f5a6eb9dc7b16843a32935e95ecab0155788908792f
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-induced-unresolved-requires-a7a6f2b6823d,contracts/plan-craft-approval.toml,plan-craft-approval-induced-unresolved-requires-a7a6f2b6823d,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: 未解決 finding を伴う `induced-loop`,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:8964bc68c4f069179d6542520f125a1531489771398172739fa058e5cf13eb5e,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:8964bc68c4f069179d6542520f125a1531489771398172739fa058e5cf13eb5e
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-no-alternative-requires-3a022e0ae565,contracts/plan-craft-approval.toml,plan-craft-approval-no-alternative-requires-3a022e0ae565,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: 代替 evidence で完了扱いにしない,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:77d704b6bc1b56b43de7ef4e077e192c4f48678df64661392980de2588fc9a60,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:77d704b6bc1b56b43de7ef4e077e192c4f48678df64661392980de2588fc9a60
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-no-reverse-requires-02e2dbbac64d,contracts/plan-craft-approval.toml,plan-craft-approval-no-reverse-requires-02e2dbbac64d,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: 自動逆遷移しない,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:cada80a57420762b705b05c7ced97974a64c8d307281b13ea6e7402d1cf81a44,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:cada80a57420762b705b05c7ced97974a64c8d307281b13ea6e7402d1cf81a44
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-not-applicable-requires-8b1a6a39d863,contracts/plan-craft-approval.toml,plan-craft-approval-not-applicable-requires-8b1a6a39d863,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: 既定 reviewer の適用対象外なら、review goal に対応する別 reviewer の有無にかかわらず `review-loop` に投入せず、通常の起草確定へ進む。,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:bad9914ea0f996d36345b89335fb1bfe251f9ade26b14aba52e03d21b0df6de7,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:bad9914ea0f996d36345b89335fb1bfe251f9ade26b14aba52e03d21b0df6de7
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-optional-final-forbids-aec3ccb2d647,contracts/plan-craft-approval.toml,plan-craft-approval-optional-final-forbids-aec3ccb2d647,forbids,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff excludes forbidden witness: final acceptance は任意,Gunte forbids,Gunte bounded forbids,no,keep-bounded,The bounded forbidden literal is a deterministic negative interface and does not freeze surrounding prose.,Insert the forbidden literal inside the declared slice/path; the same predicate must fail.,,61a7b056d00b495f457de6c759871c73190a0c3b:d383565b4c04607fccae359bfabc5bb11782198ae7306d6c08718f0403062e04,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:d383565b4c04607fccae359bfabc5bb11782198ae7306d6c08718f0403062e04
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-optional-final-variant-forbids-7c26c3fdd1e2,contracts/plan-craft-approval.toml,plan-craft-approval-optional-final-variant-forbids-7c26c3fdd1e2,forbids,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff excludes forbidden witness: final acceptance は省略可能,Gunte forbids,Gunte bounded forbids,no,keep-bounded,The bounded forbidden literal is a deterministic negative interface and does not freeze surrounding prose.,Insert the forbidden literal inside the declared slice/path; the same predicate must fail.,,61a7b056d00b495f457de6c759871c73190a0c3b:37ee45952f9ac34dfa7d5088548efa1bbdd46e6b11e3b8c16c923488dbbca4fc,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:37ee45952f9ac34dfa7d5088548efa1bbdd46e6b11e3b8c16c923488dbbca4fc
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-order-requires-f8347c3031bb,contracts/plan-craft-approval.toml,plan-craft-approval-order-requires-f8347c3031bb,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: proposal-dialogue → structural-health-gate → review-loop,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:10ddf09a852d73bd3cd6af85a9a8c5b4419150774e0aa2462fbd119543b92b52,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:10ddf09a852d73bd3cd6af85a9a8c5b4419150774e0aa2462fbd119543b92b52
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-reopen-requires-b9e78802d407,contracts/plan-craft-approval.toml,plan-craft-approval-reopen-requires-b9e78802d407,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: final acceptance での修正要求は正常な結果として扱う。親は変更の影響と依存する判断だけを新しい `proposal-dialogue` loop で 局所 reopen し、decision ledger 全体をリセッ…,Gunte requires,EVAL: plan-craft-approval-final-handoff,issue-candidate,eval,Local reopen versus full replanning depends on impact and dependencies.,Deterministic text mutation is nonapplicable; C must reopen locally and D must restart the public workflow.,,61a7b056d00b495f457de6c759871c73190a0c3b:3b61618f078cdcc7209e2b166fe28536e9e37bca39a181c7010f3e9dee4adadb,absent
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-review-change-boundary-requires-6ace3cd5bf9a,contracts/plan-craft-approval.toml,plan-craft-approval-review-change-boundary-requires-6ace3cd5bf9a,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: review は frozen decisions を守る限り、実装の具体化、verification の補強、複雑性の削減を行える。frozen decision の 変更が必要なら、改善案を採用せず `人間確認` へ止める。,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:c538b2435af4db96930c9438ec54a3dbbb09156c0db9230c77c18c1e2a7e3fa0,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:c538b2435af4db96930c9438ec54a3dbbb09156c0db9230c77c18c1e2a7e3fa0
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-review-failure-requires-bb625372fddd,contracts/plan-craft-approval.toml,plan-craft-approval-review-failure-requires-bb625372fddd,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: レビュー不成立,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:c85155ca83bab000360c3421f0321162dc34ddfc724693a872d8a04730efcff5,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:c85155ca83bab000360c3421f0321162dc34ddfc724693a872d8a04730efcff5
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-review-goal-forbids-bc111c83c13c,contracts/plan-craft-approval.toml,plan-craft-approval-review-goal-forbids-bc111c83c13c,forbids,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff excludes forbidden witness: 追加 risk がなければ `review_goal` を設定しない,Gunte forbids,Gunte bounded forbids,no,keep-bounded,The bounded forbidden literal is a deterministic negative interface and does not freeze surrounding prose.,Insert the forbidden literal inside the declared slice/path; the same predicate must fail.,,61a7b056d00b495f457de6c759871c73190a0c3b:fcceb2bc0def2da5b85bf9f00d9a17b8e35276689a4ab8d2aa7bef3287f6f998,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:fcceb2bc0def2da5b85bf9f00d9a17b8e35276689a4ab8d2aa7bef3287f6f998
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-review-goal-requires-37f40fb81264,contracts/plan-craft-approval.toml,plan-craft-approval-review-goal-requires-37f40fb81264,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: これは plan review 自体の既定目的であり、毎回 risk を事前発見することを要求しない。,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:54cfc0869d916d248525b2a8e320f834a39f1abc1f18d6b2dc3f366dc4058d00,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:54cfc0869d916d248525b2a8e320f834a39f1abc1f18d6b2dc3f366dc4058d00
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-review-goal-requires-acf2d1b26e75,contracts/plan-craft-approval.toml,plan-craft-approval-review-goal-requires-acf2d1b26e75,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: ユーザー指定 goal や追加 risk は既存 reviewer の責務内で追加できる。,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:f20514b9ad4ed294351729ddadf2f39a69b085e3d108f025e74d11dd301ebff9,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:f20514b9ad4ed294351729ddadf2f39a69b085e3d108f025e74d11dd301ebff9
baseline:contracts/plan-craft-approval.toml:plan-craft-approval-review-goal-requires-e41dd8f5e108,contracts/plan-craft-approval.toml,plan-craft-approval-review-goal-requires-e41dd8f5e108,requires,slice:plan-craft-approval-handoff,slice:plan-craft-approval-handoff contains required witness: `review_goal` は、ユーザー指定の review goal や追加の具体的な risk がない場合、「実装前プランの具体的な failure path を確認し、確定候補にできるか判断する」とする。,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:358a247bceb28ca40cae274ebd8c2cc88113aa507a5087941a6e6bd43b14a0a7,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:358a247bceb28ca40cae274ebd8c2cc88113aa507a5087941a6e6bd43b14a0a7
